Shop Cherri LLC Financing Scenario
Agreement Amount: ,"$6,500.00"
Principal Repayment Rate: ,17.0%
Fee Repayment Rate: ,2.89%
Period Start: ,2025-10-20,Period end: ,2025-10-26
Total Sales in Period,"$2,730.75"
Principal Payment (17.0% of retail sales),$464.23
Fee (2.89% of retail sales),$78.92
""
Store,Purchased At (UTC),Order Id,Line Item Id,SKU,Product,Net Price,Principal Repayment Rate,Principal Payment
shop-cherri.myshopify.com,2025-10-19 13:45:27 UTC,gid://shopify/Order/6184094924836,gid://shopify/LineItem/16118493118500,RCP0212L,"Ruffle Cheeky - 2X/3X / Black Licorice,",$17.00,17.0%,$2.89
shop-cherri.myshopify.com,2025-10-19 16:21:48 UTC,gid://shopify/Order/6184204140580,gid://shopify/LineItem/16118715908132,TIER5,Order Protection - TIER5,$1.75,17.0%,$0.30
shop-cherri.myshopify.com,2025-10-19 16:21:48 UTC,gid://shopify/Order/6184204140580,gid://shopify/LineItem/16118715940900,LRL02204L,"Bikini Brief - L/XL / Black Licorice,",$21.56,17.0%,$3.67
shop-cherri.myshopify.com,2025-10-19 16:21:48 UTC,gid://shopify/Order/6184204140580,gid://shopify/LineItem/16118715973668,MTB0214R,"Mid-Rise Thong - L/XL / Red Candy Apple,",$21.56,17.0%,$3.67
shop-cherri.myshopify.com,2025-10-19 17:25:28 UTC,gid://shopify/Order/6184281341988,gid://shopify/LineItem/16118978936868,TIER10,Order Protection - TIER10,$2.55,17.0%,$0.43
shop-cherri.myshopify.com,2025-10-19 17:25:28 UTC,gid://shopify/Order/6184281341988,gid://shopify/LineItem/16118978969636,LRL02205L,"Bikini Brief - 1X/2X / Black Licorice,",$84.00,17.0%,$14.28
shop-cherri.myshopify.com,2025-10-19 18:44:37 UTC,gid://shopify/Order/6184419754020,gid://shopify/LineItem/16119609950244,MTB0213L,"Mid-Rise Thong - M/L / Black Licorice,",$0.02,17.0%,$0.00
shop-cherri.myshopify.com,2025-10-19 23:56:18 UTC,gid://shopify/Order/6184996634660,gid://shopify/LineItem/16122318782500,MTB0212L,"Mid-Rise Thong - S/M / Black Licorice,",$17.00,17.0%,$2.89
shop-cherri.myshopify.com,2025-10-20 01:43:50 UTC,gid://shopify/Order/6185061711908,gid://shopify/LineItem/16122470400036,TIER10,Order Protection - TIER10,$2.55,17.0%,$0.43
shop-cherri.myshopify.com,2025-10-20 01:43:50 UTC,gid://shopify/Order/6185061711908,gid://shopify/LineItem/16122470432804,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-20 01:43:50 UTC,gid://shopify/Order/6185061711908,gid://shopify/LineItem/16122470465572,MTB0214R,"Mid-Rise Thong - L/XL / Red Candy Apple,",$56.00,17.0%,$9.52
shop-cherri.myshopify.com,2025-10-20 06:35:00 UTC,gid://shopify/Order/6185188884516,gid://shopify/LineItem/16122723532836,MTB0211L,"Mid-Rise Thong - XS/S / Black Licorice,",$75.60,17.0%,$12.85
shop-cherri.myshopify.com,2025-10-20 06:35:00 UTC,gid://shopify/Order/6185188884516,gid://shopify/LineItem/16122723500068,TIER36,Order Protection - TIER36,$12.52,17.0%,$2.13
shop-cherri.myshopify.com,2025-10-20 06:35:00 UTC,gid://shopify/Order/6185188884516,gid://shopify/LineItem/16122723598372,RCX0211L,"Ruffle Cheeky - XS/S / Black Licorice,",$54.00,17.0%,$9.18
shop-cherri.myshopify.com,2025-10-20 06:35:00 UTC,gid://shopify/Order/6185188884516,gid://shopify/LineItem/16122723565604,LRL02201L,"Bikini Brief - XS/S / Black Licorice,",$75.60,17.0%,$12.85
shop-cherri.myshopify.com,2025-10-20 14:12:53 UTC,gid://shopify/Order/6185393848356,gid://shopify/LineItem/16123097907236,LRL02203L,"Bikini Brief - M/L / Black Licorice,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-20 14:12:53 UTC,gid://shopify/Order/6185393848356,gid://shopify/LineItem/16123097940004,MTB0213R,"Mid-Rise Thong - M/L / Red Candy Apple,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-20 14:12:53 UTC,gid://shopify/Order/6185393848356,gid://shopify/LineItem/16123097874468,TIER5,Order Protection - TIER5,$1.75,17.0%,$0.30
shop-cherri.myshopify.com,2025-10-20 14:47:02 UTC,gid://shopify/Order/6185417048100,gid://shopify/LineItem/16123142242340,LRL02205L,"Bikini Brief - 1X/2X / Black Licorice,",$25.21,17.0%,$4.29
shop-cherri.myshopify.com,2025-10-20 14:47:02 UTC,gid://shopify/Order/6185417048100,gid://shopify/LineItem/16123142275108,LRL02204L,"Bikini Brief - L/XL / Black Licorice,",$25.21,17.0%,$4.29
shop-cherri.myshopify.com,2025-10-21 01:01:02 UTC,gid://shopify/Order/6186075160612,gid://shopify/LineItem/16125307289636,MTB0212L,"Mid-Rise Thong - S/M / Black Licorice,",$17.00,17.0%,$2.89
shop-cherri.myshopify.com,2025-10-21 03:17:44 UTC,gid://shopify/Order/6186149609508,gid://shopify/LineItem/16125463920676,41,"Mystery Bag - 2X/3X / 2X/3X,",$75.00,17.0%,$12.75
shop-cherri.myshopify.com,2025-10-21 03:17:44 UTC,gid://shopify/Order/6186149609508,gid://shopify/LineItem/16125463986212,RCP0212L,"Ruffle Cheeky - 2X/3X / Black Licorice,",$60.00,17.0%,$10.20
shop-cherri.myshopify.com,2025-10-21 03:17:44 UTC,gid://shopify/Order/6186149609508,gid://shopify/LineItem/16125463855140,3PLRL02206SF,"3 Pack Bikini Briefs - Spring Fling - 2X/3X / Spring Fling,",$60.00,17.0%,$10.20
shop-cherri.myshopify.com,2025-10-21 03:17:44 UTC,gid://shopify/Order/6186149609508,gid://shopify/LineItem/16125463953444,MTBP0212B,"Mid-Rise Thong - 2X/3X / Blueberry,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-21 03:17:44 UTC,gid://shopify/Order/6186149609508,gid://shopify/LineItem/16125463822372,MTBP0212R,"Mid-Rise Thong - 2X/3X / Red Candy Apple,",$56.00,17.0%,$9.52
shop-cherri.myshopify.com,2025-10-21 03:17:44 UTC,gid://shopify/Order/6186149609508,gid://shopify/LineItem/16125463887908,GSP0222S,"G-String - 2X/3X / Strawberry Pink,",$28.00,17.0%,$4.76
